query_id,tipo,query,relevant_source_ids,latencia_ms,rr,precision@1,recall_articulo@1,ndcg@1,precision@3,recall_articulo@3,ndcg@3,precision@5,recall_articulo@5,ndcg@5,precision@10,recall_articulo@10,ndcg@10
q01,lexica,función de ranking Okapi BM25,bm25,13.438,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.4,1.0,0.6366824387328317,0.3,1.0,0.7541985434892589
q02,lexica,tf-idf frecuencia inversa de documento,tfidf,16.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8687949224876582,0.5,1.0,0.8020378746650065
q03,lexica,índice invertido en recuperación de información,indice_invertido,13.331,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1480409554829326
q04,lexica,reconocimiento de entidades nombradas,ner,15.129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.7151857987862356
q05,lexica,similitud coseno entre dos vectores,similitud_coseno,14.12,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.6,1.0,0.6992148198508501,0.4,1.0,0.8013122149737618
q06,lexica,modelo word2vec skip-gram y bolsa continua de palabras,word2vec,16.021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8539316501572937,0.7,1.0,0.762416491594312
q07,lexica,análisis de sentimiento de opiniones,analisis_sentimiento,12.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q08,lexica,traducción automática estadística y neuronal,traduccion_automatica,17.531,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.4,1.0,0.5531464700081437,0.2,1.0,0.3589542101716347
q09,lexica,mecanismo de atención en aprendizaje automático,atencion,16.564,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7039180890341347,0.4,1.0,0.5087403079104241,0.4,1.0,0.49747270012788325
q10,lexica,precisión y exhaustividad como métricas de evaluación,precision_exhaustividad,18.499,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.6,1.0,0.6992148198508501,0.4,1.0,0.605782506766195
q11,lexica,tareas del procesamiento de lenguaje natural,pln,17.758,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.4,1.0,0.5531464700081437,0.3,1.0,0.42257499837058643
q12,semantica,cómo puntuar la pertinencia de un texto frente a las palabras buscadas,bm25,20.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,semantica,representar palabras como vectores numéricos que capturan su significado,word2vec|word_embedding,17.301,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5307212739772434,0.6,1.0,0.5147714448836774,0.4,1.0,0.39767223286316733
q14,semantica,convertir un texto de un idioma a otro sin intervención humana,traduccion_automatica,17.464,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.27727342735504823,0.5,1.0,0.3913817611255761
q15,semantica,"identificar nombres de personas, lugares y organizaciones en un documento",ner,17.952,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.2960819109658652,0.4,1.0,0.34519134224686937,0.3,1.0,0.29025978496956456
q16,semantica,medir el parecido de dos textos por el ángulo entre sus representaciones,similitud_coseno,20.926,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7039180890341347,0.4,1.0,0.5087403079104241,0.2,1.0,0.5087403079104241
q17,semantica,determinar si una reseña expresa una opinión favorable o desfavorable,analisis_sentimiento,18.355,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7039180890341347,0.8,1.0,0.7860137352654724,0.8,1.0,0.7948833326720564
q18,semantica,sistema que localiza páginas web pertinentes para lo que pide el usuario,motor_busqueda,17.278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8539316501572937,0.7,1.0,0.7573821447149967
q19,semantica,asignar probabilidad a la siguiente palabra de una secuencia,modelo_lenguaje|ngrama,17.141,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,0.7227265726449519,0.5,1.0,0.6046855387118412
q20,semantica,hacer que una máquina aprenda a partir de ejemplos en lugar de reglas fijas,aprendizaje_automatico,18.541,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.6,1.0,0.6992148198508501,0.5,1.0,0.5983950669742499
q21,semantica,estructura de cómputo inspirada en las neuronas del cerebro,red_neuronal,18.595,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.2960819109658652,0.6,1.0,0.4912596920895758,0.6,1.0,0.5181001594748443
q22,semantica,buscar por el significado de la consulta y no por coincidencia exacta de palabras,busqueda_semantica,19.074,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7039180890341347,0.6,1.0,0.639945385422766,0.4,1.0,0.48471198902551854
q23,dificil,diferencia entre recuperación por palabras clave y búsqueda semántica,busqueda_semantica|recuperacion_informacion,15.741,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.7039180890341347,0.8,1.0,0.7860137352654724,0.7,1.0,0.7280855459907165
q24,dificil,cómo se relacionan el mecanismo de atención y la arquitectura transformador,atencion|transformador,20.719,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.8553475075669357
q25,dificil,papel de los n-gramas en los modelos de lenguaje,modelo_lenguaje|ngrama,16.825,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,0.7227265726449519,0.6,1.0,0.677273373952691
q26,dificil,métricas para evaluar la calidad de un sistema de recuperación,precision_exhaustividad|recuperacion_informacion,15.254,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
